Column name;Date;Time;Depth (m);Stabilized (m);M+;M-;Avg.(kg/ls);Start weight;Drill time (s);Stab.(s);Elev. mm/r;Tank no.;Orginal name;;;
E24P23;03.10.2011;07:16;10,1;9,6;2,3;0;30;3918;311;167;20;;E24P23;;;
E24P24;03.10.2011;07:20;10;9,5;0;0;27;3631;590;164;20;;E24P24;;;
E24P25;03.10.2011;07:25;9,9;9,4;0;0;27;3369;600;0;20;;E24P25;;;
E24P26;03.10.2011;07:30;9,8;9,3;0;0;29;3111;600;0;20;;E24P26;;;
E24P27;03.10.2011;07:35;9,6;9,1;0,4;0;28;2836;600;0;20;;E24P27;;;
E24P28;03.10.2011;07:40;9,6;9,1;0;0;28;2579;600;0;20;;E24P28;;;
E24P29;03.10.2011;07:45;9,2;8,7;1,6;0;28;2327;600;0;20;;E24P29;;;
E24P30;03.10.2011;07:49;9;8,5;0;0;27;2081;600;0;20;;E24P30;;;
E24P31;03.10.2011;07:54;8,9;8,5;0;0;26;1849;600;0;20;;E24P31;;;
E24P32;03.10.2011;07:59;8,8;8,3;0;0,3;27;1622;600;0;20;;E24P32;;;
E24P33;03.10.2011;08:03;9;8,5;0;0;29;1398;600;0;20;;E24P33;;;
E24P34;03.10.2011;08:07;8,9;8,5;0;0;28;1154;600;0;20;;E24P34;;;
E24P35;03.10.2011;08:11;8,9;8,5;0;0;27;918;600;0;20;;E24P35;;;
E24P36;03.10.2011;08:15;8,8;8,3;0;0;28;684;600;0;20;;E24P36;;;
E24P37;03.10.2011;08:19;8,8;8,3;0;0;27;452;600;0;20;;E24P37;;;
E24P38;03.10.2011;08:29;9,1;9,1;1,6;0;28;12958;600;0;20;;E24P38;;;
E24P39;03.10.2011;08:33;8,6;8,2;4;0;31;12705;600;0;20;;E24P39;;;
E24P40;03.10.2011;08:37;9,2;8,7;0,3;0;28;12443;600;0;20;;E24P40;;;
E24P41;03.10.2011;08:41;8,6;8,2;0,7;0;27;12195;600;0;20;;E24P41;;;
E24P42;03.10.2011;08:45;8,6;8,2;1,3;0;28;11970;600;0;20;;E24P42;;;
E24P43;03.10.2011;08:49;8,5;8;1,1;0;28;11735;600;0;20;;E24P43;;;
E24P44;03.10.2011;08:53;8,3;7,8;2;0,4;29;11511;600;0;20;;E24P44;;;
E24P45;03.10.2011;08:57;8,2;7,7;0,4;0;28;11275;600;0;20;;E24P45;;;
E24P46;03.10.2011;09:01;8,3;8,2;1,5;0;28;11046;600;0;20;;E24P46;;;
E24P47;03.10.2011;09:05;7,9;7,4;1,5;0;29;10816;176;126;20;;E24P47;;;
E24P48;03.10.2011;09:09;7,5;7;0;0;28;10597;414;124;20;;E24P48;;;
E24P49;03.10.2011;09:13;7,9;7,4;0,7;0,4;28;10401;600;59;20;;E24P49;;;
E24P50;03.10.2011;09:17;7,3;6,8;0;0;26;10193;600;0;20;;E24P50;;;
